N;DENSITY;SEED;EMBEDGREEDY_HOSTS;EMBEDBALANCED_HOSTS;EMBEDPARTITION_HOSTS;METIS_HOSTS;METIS_HOST_CPU_OVERCOMMITMENT;METIS_HOST_MEMORY_OVERCOMMITMENT;METIS_HOST_LINK_OVERCOMMITMENT;METIS_MAX_CPU_OVERCOMMITMENT;METIS_MAX_MEMORY_OVERCOMMITMENT;METIS_MAX_LINK_OVERCOMMITMENT;RANDOM_HOSTS;RANDOM_HOST_CPU_OVERCOMMITMENT;RANDOM_HOST_MEMORY_OVERCOMMITMENT;RANDOM_HOST_LINK_OVERCOMMITMENT;RANDOM_MAX_CPU_OVERCOMMITMENT;RANDOM_MAX_MEMORY_OVERCOMMITMENT;RANDOM_MAX_LINK_OVERCOMMITMENT;ROUNDROBIN_HOSTS;ROUNDROBIN_HOST_CPU_OVERCOMMITMENT;ROUNDROBIN_HOST_MEMORY_OVERCOMMITMENT;ROUNDROBIN_HOST_LINK_OVERCOMMITMENT;ROUNDROBIN_MAX_CPU_OVERCOMMITMENT;ROUNDROBIN_MAX_MEMORY_OVERCOMMITMENT;ROUNDROBIN_MAX_LINK_OVERCOMMITMENT;SWITCHBIN_HOSTS;SWITCHBIN_HOST_CPU_OVERCOMMITMENT;SWITCHBIN_HOST_MEMORY_OVERCOMMITMENT;SWITCHBIN_HOST_LINK_OVERCOMMITMENT;SWITCHBIN_MAX_CPU_OVERCOMMITMENT;SWITCHBIN_MAX_MEMORY_OVERCOMMITMENT;SWITCHBIN_MAX_LINK_OVERCOMMITMENT
35;0,2;80;10;20;14;19;3;0;0;28,125;0;0;24;1;0;2;37,5;0;183,8;25;0;0;3;0;0;99,2;25;2;0;2;62,5;0;31,3
35;0,3;80;10;-1;14;18;0;0;0;0;0;0;22;0;0;5;0;0;270,7;25;0;0;7;0;0;147,4;25;1;1;3;9,375;29,16666667;128,3
35;0,4;80;11;-1;-1;18;1;0;2;21,875;0;18,6;23;3;1;6;62,5;79,16666667;488,9;25;1;0;8;37,5;0;189,5;25;1;1;6;100;16,66666667;108,4
35;0,5;80;11;15;15;18;1;0;2;6,25;0;16,6;24;2;1;9;25;75;379,9;25;1;1;9;6,25;8,333333333;237,7;25;3;0;10;28,125;0;203,5
35;0,1;81;10;16;12;18;1;0;0;12,5;0;0;25;0;0;2;0;0;17,2;25;0;0;1;0;0;14,4;25;1;0;0;6,25;0;0
35;0,2;81;11;-1;13;18;0;0;0;0;0;0;24;1;0;4;37,5;0;102,5;25;0;0;3;0;0;72,3;25;2;0;2;25;0;43,1
35;0,3;81;11;22;13;19;1;0;0;6,25;0;0;22;2;0;5;33,33333333;0;321,1;25;0;0;3;0;0;93,6;25;1;0;2;4,166666667;0;64,3
35;0,4;81;11;-1;14;19;1;0;0;12,5;0;0;24;1;2;6;18,75;50;369,8;25;0;1;5;0;8,333333333;144,8;25;2;0;5;37,5;0;91,7
35;0,5;81;11;22;14;18;1;1;1;3,125;25;5,2;24;1;0;9;25;0;366;25;0;0;9;0;0;162,6;25;4;1;7;50;150;118,4
35;0,1;82;11;16;15;21;0;0;0;0;0;0;24;1;0;0;28,125;0;0;25;0;0;0;0;0;0;25;2;1;0;43,75;91,66666667;0
